artists,track_name,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_s;;;
['Sam Smith;Kim Petras'],Unholy (feat. Kim Petras),100,0,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4,dance,156.943;;
['David Guetta;Bebe Rexha'],I'm Good (Blue),98,0,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,dance,175.238;;
['Manuel Turizo'],La Bachata,98,0,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,latin,162.637;;;
['Bad Bunny'],Tití Me Preguntó,97,0,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4,latin,243.716;;;
['Bad Bunny;Chencho Corleone'],Me Porto Bonito,97,0,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4,latin,178.567;;
['OneRepublic'],I Ain't Worried,96,0,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano,148.485;;;
['Bad Bunny'],Efecto,96,0,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,latin,213.061;;;
['Bad Bunny;Bomba Estéreo'],Ojitos Lindos,95,0,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4,latin,258.298;;
['Bad Bunny'],Moscow Mule,94,0,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,4,latin,245.939;;;
['Bad Bunny'],Neverita,93,0,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,4,latin,173.119;;;
['Tom Odell'],Another Love,93,0,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4,chill,244.36;;;
['Beyoncé'],CUFF IT,93,0,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4,dance,225.388;;;
['The Neighbourhood'],Sweater Weather,93,0,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4,alt-rock,240.4;;;
['Nicki Minaj'],Super Freaky Girl,92,0,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance,170.977;;;
['Charlie Puth;Jung Kook;BTS'],Left and Right (Feat. Jung Kook of BTS),92,0,0.881,0.592,2,-4.898,1,0.0324,0.619,1.32e-05,0.0901,0.719,101.058,4,dance,154.486;
['Rema;Selena Gomez'],Calm Down (with Selena Gomez),92,0,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,pop,239.317;;
['Arctic Monkeys'],I Wanna Be Yours,92,0,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4,garage,183.956;;;
['Rauw Alejandro;Lyanno;Brray'],LOKERA,91,0,0.834,0.828,11,-2.657,0,0.0452,0.21,5.91e-06,0.103,0.58,102.019,4,latin,195.294;
['Drake;21 Savage'],Jimmy Cooks (feat. 21 Savage),91,0,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4,hip-hop,218.364;;
['Luar La L'],Caile,91,0,0.704,0.756,0,-4.948,1,0.448,0.298,3.75e-06,0.0852,0.461,121.737,3,latin,141.34;;;
['Bad Bunny;Jhayco'],Tarot,91,0,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,4,latin,237.894;;
['Ruth B.'],Dandelions,90,0,0.609,0.692,1,-2.958,1,0.0259,0.0157,0.0,0.0864,0.454,116.959,3,pop,233.72;;;
['Bad Bunny;Rauw Alejandro'],Party,90,0,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,4,latino,227.628;;
['Lil Nas X'],STAR WALKIN' (League of Legends Worlds Anthem),90,0,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,4,hip-hop,210.575;;;
['The Weeknd;Gesaffelstein'],I Was Never There,90,0,0.323,0.737,10,-4.008,1,0.0338,0.142,0.000162,0.163,0.155,113.26,4,pop,241.066;;
['Stephen Sanchez'],Until I Found You,90,0,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,3,pop,177.72;;;
"['Beach Weather'],""Sex, Drugs, Etc."",90,0,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,4,rock,196.784";;;
['James Hype;Miggy Dela Rosa'],Ferrari,90,0,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004,4,dance,186.661;;
['The Weeknd;Daft Punk'],Starboy,90,0,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,pop,230.453;;
['Doja Cat'],Vegas (From the Original Motion Picture Soundtrack ELVIS),90,0,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4,dance,182.906;;;
['Bad Bunny;Tony Dize'],La Corriente,90,0,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,196.12,4,latino,198.367;;
['Shakira;Rauw Alejandro'],Te Felicito,90,0,0.695,0.636,5,-4.654,1,0.317,0.234,0.0,0.081,0.575,174.14,4,latin,172.235;;
['Kate Bush'],Running Up That Hill (A Deal With God),90,0,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,4,piano,298.933;;;
['Billie Eilish;Khalid'],lovely (with Khalid),89,0,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4,pop,200.185;;
['Calvin Harris;Dua Lipa'],One Kiss (with Dua Lipa),89,0,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,4,dance,214.846;;
['Coolio;L.V.'],Gangsta's Paradise,89,0,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.398,0.386,79.975,4,funk,240.693;;
['The Weeknd'],Call Out My Name,89,0,0.461,0.593,1,-4.954,1,0.0356,0.17,0.0,0.307,0.175,134.17,3,pop,228.373;;;
['Lizzo'],About Damn Time,89,0,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,4,hip-hop,191.822;;;
['Mora;Feid'],LA INOCENTE,89,0,0.757,0.789,5,-3.46,0,0.0583,0.307,0.0,0.0717,0.464,91.911,4,latino,202.173;;
['Rels B'],cómo dormiste?,89,0,0.627,0.429,1,-8.255,1,0.234,0.238,0.0,0.122,0.565,126.426,5,latino,112.572;;;
['Future;Drake;Tems'],WAIT FOR U (feat. Drake & Tems),89,0,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4,hip-hop,189.893;
['The Walters'],I Love You So,89,0,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,4,indie,160.239;;;
['Armani White'],BILLIE EILISH.,89,0,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,4,hip-hop,99.282;;;
['The Kid LAROI;Justin Bieber'],STAY (with Justin Bieber),89,0,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,4,hip-hop,141.805;;
['Omar Apollo'],Evergreen (You Didn’t Deserve Me At All),88,0,0.697,0.336,9,-10.395,1,0.0424,0.598,0.00528,0.107,0.31,82.029,3,soul,216.68;;;
['Chris Jedi;Anuel AA;Chencho Corleone;Ñengo Flow'],La Llevo Al Cielo (Ft. Ñengo Flow),88,0,0.795,0.845,9,-3.809,0,0.135,0.105,1.14e-05,0.172,0.769,170.023,4,latino,254.92
['Arctic Monkeys'],Why'd You Only Call Me When You're High?,88,0,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,4,garage,161.123;;;
['Arctic Monkeys'],505,88,0,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,4,garage,253.586;;;
['Arctic Monkeys'],Do I Wanna Know?,88,0,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4,garage,272.394;;;
['Pablo Pesadilla;Polimá Westcoast;Nickoog Clk;Fran C'],BABY OTAKU,88,0,0.835,0.747,9,-4.65,1,0.083,0.0492,0.0,0.055,0.432,102.003,4,latino,176.47
['One Direction'],Night Changes,88,0,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,4,pop,226.6;;;
['J. Cole'],No Role Modelz,88,0,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,4,hip-hop,292.799;;;
['Ghost'],Mary On A Cross,88,0,0.466,0.9,11,-4.469,1,0.0447,0.000235,0.00104,0.103,0.561,130.02,4,hard-rock,244.804;;;
['Taylor Swift'],Don’t Blame Me,88,0,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,4,pop,236.413;;;
['Olivia Rodrigo'],traitor,88,0,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,4,pop,229.226;;;
['Pritam;Arijit Singh;"Amitabh Bhattacharya'],""Kesariya (From """"Brahmastra"""")"",88,0,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009,4,indian,268.164";
['The Weeknd'],Die For You,88,0,0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,4,pop,260.253;;;
['IVE'],After LIKE,88,0,0.68,0.922,0,-1.215,1,0.121,0.103,0.0,0.0877,0.799,125.014,4,k-pop,176.973;;;
['The Neighbourhood'],Daddy Issues,87,0,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,4,alt-rock,260.173;;;
['Camila Cabello;Ed Sheeran'],Bam Bam (feat. Ed Sheeran),87,0,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,4,dance,206.07;;
['benny blanco;BTS;Snoop Dogg'],Bad Decisions (with BTS & Snoop Dogg),87,0,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,4,dance,172.714;
['Bad Bunny'],Dos Mil 16,87,0,0.817,0.67,1,-6.534,1,0.0506,0.123,1.92e-06,0.128,0.495,130.058,3,latino,208.615;;;
['Tears For Fears'],Everybody Wants To Rule The World,87,0,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4,synth-pop,251.488;;;
['Tainy;Bad Bunny;Julieta Venegas'],Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),87,0,0.639,0.703,4,-6.33,0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,4,latino,207.301;
['Bad Bunny'],Un Ratito,87,0,0.787,0.546,0,-7.094,0,0.0532,0.305,4.55e-05,0.122,0.222,93.05,4,latino,176.936;;;
['Bad Bunny'],Un Coco,87,0,0.839,0.69,11,-4.464,1,0.0615,0.207,8.33e-06,0.176,0.744,151.991,4,latino,196.412;;;
['Bruno Mars'],Locked out of Heaven,87,0,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,4,dance,233.478;;;
['Olivia Rodrigo'],deja vu,87,0,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,4,pop,215.506;;;
['Conan Gray'],Heather,87,0,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,pop,198.04;;;
['Bad Bunny'],Yonaguni,87,0,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4,latino,206.71;;;
['Yung Gravy'],Betty (Get Money),87,0,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,4,hip-hop,146.47;;;
['Lil Nas X'],THATS WHAT I WANT,87,0,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,4,hip-hop,143.901;;;
['XXXTENTACION'],Revenge,87,0,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4,emo,120.026;;;
['Eminem'],The Real Slim Shady,87,0,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,4,hip-hop,284.2;;;
['Imanbek;BYOR'],Belly Dancer,87,0,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,4,dance,151.475;;
['TWICE'],Talk that Talk,86,0,0.772,0.907,3,-2.438,0,0.124,0.136,0.0,0.334,0.783,119.973,4,k-pop,177.466;;;
['The Neighbourhood'],Softcore,86,0,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,4,alt-rock,206.28;;;
['Taylor Swift'],august,86,0,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,4,pop,261.922;;;
['Surf Curse'],Freaks,86,0,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,4,indie-pop,147.062;;;
['Imagine Dragons;JID;Arcane;League of Legends'],Enemy (with JID) - from the series Arcane League of Legends,86,0,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,4,rock,173.381
['Eminem;Nate Dogg'],Till I Collapse,86,0,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,4,hip-hop,297.786;;
['Bad Bunny;Buscabulla'],Andrea,86,0,0.797,0.616,1,-10.229,0,0.375,0.762,0.000293,0.0979,0.451,103.071,4,latino,339.611;;
['Lil Nas X;Jack Harlow'],INDUSTRY BABY (feat. Jack Harlow),86,0,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,4,hip-hop,212.0;;
['Måneskin'],Beggin',86,0,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,4,indie-pop,211.56;;;
['Ed Sheeran'],Shape of You,86,0,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,pop,233.712;;;
['Farruko'],Pepas,86,0,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,4,latin,287.12;;;
['Olivia Rodrigo'],happier,86,0,0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,168.924,3,pop,175.933;;;
['Justin Bieber;Daniel Caesar;Giveon'],Peaches (feat. Daniel Caesar & Giveon),86,0,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,4,pop,198.081;
['Avicii'],The Nights,86,0,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,4,dance,176.658;;;
['Shawn Mendes'],There's Nothing Holdin' Me Back,86,0,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,4,dance,199.44;;;
['Morgan Wallen'],You Proof,86,0,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4,country,157.477;;;
['GAYLE'],abcdefu,86,0,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative,168.601;;;
['Fujii Kaze'],Shinunoga E-Wa,85,0,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,4,j-pop,185.573;;;
['BTS'],Yet To Come,85,0,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,4,k-pop,193.593;;;
['Gesaffelstein;The Weeknd'],Lost in the Fire (feat. The Weeknd),85,0,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,4,club,202.093;;
['Becky G;KAROL G'],MAMIII,85,0,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,4,reggae,226.088;;
['BLACKPINK'],Pink Venom,85,0,0.794,0.719,0,-7.227,1,0.0761,0.0119,0.0,0.276,0.69,90.016,4,k-pop,186.964;;;
['IVE'],LOVE DIVE,85,0,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941,4,k-pop,177.186;;;
['Bad Bunny'],Me Fui de Vacaciones,85,0,0.714,0.645,10,-5.493,1,0.0514,0.229,0.00083,0.0942,0.434,85.046,4,latino,180.929;;;